"x","y_obs","weight","y_calc","y_bkg"
15.002,43.0,0.02326,45.803,45.172
15.018,40.0,0.025,45.812,45.17
15.034,44.0,0.02273,45.821,45.167
15.05,43.0,0.02326,45.83,45.165
15.066,39.0,0.02564,45.839,45.162
15.082,39.0,0.02564,45.849,45.159
15.098,54.0,0.01852,45.86,45.157
15.114,59.0,0.01695,45.87,45.154
15.13,57.0,0.01754,45.881,45.151
15.146,57.0,0.01754,45.893,45.149
15.162,61.0,0.01639,45.905,45.146
15.178,54.0,0.01852,45.917,45.143
15.194,55.0,0.01818,45.93,45.141
15.21,44.0,0.02273,45.943,45.138
15.226,56.0,0.01786,45.957,45.136
15.242,48.0,0.02083,45.971,45.133
15.258,48.0,0.02083,45.986,45.13
15.274,46.0,0.02174,46.001,45.128
15.29,67.0,0.01493,46.017,45.125
15.306,55.0,0.01818,46.034,45.122
15.322,38.0,0.02632,46.051,45.12
15.338,47.0,0.02128,46.068,45.117
15.354,46.0,0.02174,46.087,45.114
15.37,47.0,0.02128,46.106,45.112
15.386,47.0,0.02128,46.126,45.109
15.402,50.0,0.02,46.147,45.106
15.418,50.0,0.02,46.168,45.104
15.434,53.0,0.01887,46.191,45.101
15.45,46.0,0.02174,46.214,45.098
15.466,40.0,0.025,46.238,45.096
15.482,50.0,0.02,46.263,45.093
15.498,47.0,0.02128,46.29,45.09
15.514,40.0,0.025,46.317,45.088
15.53,42.0,0.02381,46.346,45.085
15.546,49.0,0.02041,46.375,45.082
15.562,50.0,0.02,46.406,45.08
15.578,43.0,0.02326,46.439,45.077
15.594,47.0,0.02128,46.473,45.074
15.61,52.0,0.01923,46.508,45.072
15.626,45.0,0.02222,46.545,45.069
15.642,43.0,0.02326,46.583,45.066
15.658,54.0,0.01852,46.624,45.063
15.674,51.0,0.01961,46.666,45.061
15.69,43.0,0.02326,46.71,45.058
15.706,47.0,0.02128,46.756,45.055
15.722,50.0,0.02,46.805,45.053
15.738,50.0,0.02,46.856,45.05
15.754,49.0,0.02041,46.909,45.047
15.77,50.0,0.02,46.965,45.045
15.786,50.0,0.02,47.024,45.042
15.802,56.0,0.01786,47.086,45.039
15.818,54.0,0.01852,47.151,45.036
15.834,39.0,0.02564,47.22,45.034
15.85,39.0,0.02564,47.293,45.031
15.866,41.0,0.02439,47.369,45.028
15.882,38.0,0.02632,47.449,45.026
15.898,49.0,0.02041,47.535,45.023
15.914,52.0,0.01923,47.625,45.02
15.93,49.0,0.02041,47.72,45.017
15.946,41.0,0.02439,47.821,45.015
15.962,53.0,0.01887,47.928,45.012
15.978,43.0,0.02326,48.042,45.009
15.994,47.0,0.02128,48.163,45.007
16.01,48.0,0.02083,48.291,45.004
16.026,43.0,0.02326,48.428,45.001
16.042,51.0,0.01961,48.575,44.998
16.058,49.0,0.02041,48.731,44.996
16.074,50.0,0.02,48.898,44.993
16.09,48.0,0.02083,49.077,44.99
16.106,55.0,0.01818,49.269,44.987
16.122,54.0,0.01852,49.476,44.985
16.138,67.0,0.01493,49.698,44.982
16.154,55.0,0.01818,49.938,44.979
16.17,49.0,0.02041,50.196,44.976
16.186,52.0,0.01923,50.477,44.974
16.202,69.0,0.01449,50.781,44.971
16.218,76.0,0.01316,51.111,44.968
16.234,63.0,0.01587,51.471,44.965
16.25,57.0,0.01754,51.864,44.963
16.266,71.0,0.01408,52.295,44.96
16.282,82.0,0.0122,52.768,44.957
16.298,74.0,0.01351,53.289,44.954
16.314,73.0,0.0137,53.864,44.952
16.33,70.0,0.01429,54.502,44.949
16.346,79.0,0.01266,55.211,44.946
16.362,81.0,0.01235,56.003,44.943
16.378,74.0,0.01351,56.891,44.941
16.394,68.0,0.01471,57.891,44.938
16.41,96.0,0.01042,59.022,44.935
16.426,91.0,0.01099,60.309,44.932
16.442,75.0,0.01333,61.781,44.929
16.458,89.0,0.01124,63.475,44.927
16.474,80.0,0.0125,65.438,44.924
16.49,103.0,0.00971,67.728,44.921
16.506,112.0,0.00893,70.423,44.918
16.522,92.0,0.01087,73.623,44.916
16.538,93.0,0.01075,77.462,44.913
16.554,90.0,0.01111,82.132,44.91
16.57,110.0,0.00909,87.938,44.907
16.586,114.0,0.00877,95.482,44.904
16.602,127.0,0.00787,106.168,44.902
16.618,151.0,0.00662,123.48,44.899
16.634,165.0,0.00606,155.536,44.896
16.65,228.0,0.00439,218.904,44.893
16.666,314.0,0.00318,341.786,44.89
16.682,472.0,0.00212,562.028,44.888
16.698,735.0,0.00136,914.793,44.885
16.714,1139.0,0.00088,1409.406,44.882
16.73,1711.0,0.00058,2003.81,44.879
16.746,2537.0,0.00039,2588.929,44.876
